Animal,Mês,Estação,Km,Trecho,Sentido,Trecho macro,Hora da Coleta,Tipo De Pistas,Numero de Pistas,Tipo de Pavimento,Numero de Faixas,Velocidade Maxima,Tipo da Chuva,Intervencao,Vazamento,Agua?,Vegetação Baixa?,capimAlto,Arbustos,Floresta,Local,Com filhotes?,Faixa de Horario,Faixa de Quilometragem
saracura-sanã,5,Outono,114,2,RJ,Baixada,16:08:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),8,110,Sem chuva,sim,não,sim,não,sim,não,não,Pista de rolamento,não,Entre 15 e 18,Entre 100 e 125
pomba-de-asa-branca,5,Outono,814,15,RJ,Planalto,13:27:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 800 e 825
tiziu,5,Outono,1,13,RJ,Planalto,13:57:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
tiziu,5,Outono,816,14,RJ,Planalto,13:34:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,sim,não,não,Acostamento,não,Entre 12 e 15,Entre 800 e 825
anú-branco,5,Outono,804,16,JF,Planalto,12:19:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 800 e 825
gambá-de-orelha-preta,5,Outono,76,5,RJ,Serra,16:03:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,não,sim,Retorno/Acesso,não,Entre 15 e 18,Entre 75 e 100
morcego,5,Outono,806,15,JF,Planalto,12:07:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,sim,não,não,não,sim,não,sim,Pista de rolamento,não,Entre 12 e 15,Entre 800 e 825
coruja-buraqueira,5,Outono,800,16,RJ,Planalto,13:38:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 775 e 800
ave,5,Outono,10,12,JF,Planalto,10:05:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
furão,5,Outono,783,18,JF,Planalto,16:40:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),6,110,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 15 e 18,Entre 775 e 800
morcego,5,Outono,6,12,JF,Planalto,10:13:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,sim,não,não,não,sim,sim,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
gambá-de-orelha-preta,5,Outono,38,9,JF,Planalto,09:21:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,sim,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 25 e 50
tapeti,5,Outono,54,8,JF,Planalto,08:48:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 06 e 09,Entre 50 e 75
morcego,5,Outono,776,18,JF,Planalto,11:35:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,sim,não,não,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
morcego,5,Outono,782,18,JF,Planalto,11:22:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,sim,não,não,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
tatu-galinha,5,Outono,819,14,JF,Planalto,10:34:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 800 e 825
abre-asa-de-cabeça-cinza,5,Outono,81,5,RJ,Serra,08:47:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 06 e 09,Entre 75 e 100
pomba-de-asa-branca,5,Outono,53,8,RJ,Planalto,15:37:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,não,não,sim,Acostamento,não,Entre 15 e 18,Entre 50 e 75
maritaca,5,Outono,803,16,RJ,Planalto,13:46:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 800 e 825
canário-da-terra,5,Outono,812,15,RJ,Planalto,14:01:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 800 e 825
bico-de-lacre,5,Outono,101,3,JF,Serra,10:30:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,sim,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
morcego,5,Outono,18,11,RJ,Planalto,15:01:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,70,Sem chuva,sim,não,não,não,sim,sim,não,Acostamento,não,Entre 15 e 18,Entre 0 e 25
ouriço-cacheiro,5,Outono,19,11,JF,Planalto,10:18:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,sim,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 0 e 25
gambá-de-orelha-preta,5,Outono,100,3,JF,Serra,10:30:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,sim,não,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
morcego,5,Outono,101,3,JF,Serra,10:27:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,sim,não,não,sim,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
pomba-de-asa-branca,5,Outono,51,8,JF,Planalto,14:31:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 50 e 75
coleirinho,5,Outono,37,9,RJ,Planalto,15:27:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,não,não,sim,Acostamento,não,Entre 15 e 18,Entre 25 e 50
tiê-preto,5,Outono,777,18,RJ,Planalto,12:09:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,não,sim,sim,não,não,não,sim,Pista de rolamento,não,Entre 12 e 15,Entre 775 e 800
corruíra,5,Outono,101,3,JF,Serra,10:25:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,sim,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
tiziu,5,Outono,40,9,RJ,Planalto,15:36:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,sim,não,não,não,sim,não,Pista de rolamento,não,Entre 15 e 18,Entre 25 e 50
tapeti,5,Outono,1,13,JF,Planalto,09:21:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 0 e 25
morcego,5,Outono,33,10,JF,Planalto,08:38:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,sim,não,não,Acostamento,não,Entre 06 e 09,Entre 25 e 50
rato-preto,5,Outono,53,8,RJ,Planalto,14:56:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,não,não,sim,Acostamento,não,Entre 12 e 15,Entre 50 e 75
morcego,5,Outono,87,4,RJ,Serra,09:10:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,não,sim,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
sagui-de-tufos-pretos,5,Outono,810,15,JF,Planalto,09:50:00,Barreira rígida (New Jersey),3,Pavimento flexível (asfalto),6,110,Sem chuva,não,não,não,não,não,não,sim,Pista de rolamento,não,Entre 09 e 12,Entre 800 e 825
araçari-poca,5,Outono,84,5,RJ,Serra,08:59:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 06 e 09,Entre 75 e 100
sanhaçu-cinzento,5,Outono,39,9,RJ,Planalto,14:31:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Chuva fina,não,não,não,não,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 25 e 50
sabiá-laranjeira,5,Outono,80,5,JF,Serra,08:05:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 06 e 09,Entre 75 e 100
bico-de-lacre,5,Outono,101,3,RJ,Serra,09:43:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
calango,5,Outono,38,9,RJ,Planalto,15:26:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,não,não,sim,sim,Pista de rolamento,não,Entre 15 e 18,Entre 25 e 50
gambá-de-orelha-preta,5,Outono,68,6,JF,Planalto,08:40:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,não,não,sim,Acostamento,não,Entre 06 e 09,Entre 50 e 75
gambá-de-orelha-preta,5,Outono,74,6,JF,Serra,08:27:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,não,sim,Pista de rolamento,não,Entre 06 e 09,Entre 50 e 75
gambá-de-orelha-preta,5,Outono,81,5,RJ,Serra,08:35:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Pista de rolamento,não,Entre 06 e 09,Entre 75 e 100
gambá-de-orelha-preta,5,Outono,82,5,JF,Serra,11:35:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
gambá-de-orelha-preta,5,Outono,88,4,JF,Serra,11:05:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
sagui,5,Outono,98,3,JF,Serra,10:40:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
coruja,5,Outono,82,5,JF,Serra,11:25:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Desconhecido,não,Entre 09 e 12,Entre 75 e 100
canário-da-terra,5,Outono,15,12,RJ,Planalto,14:20:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,sim,não,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
beija-flor-de-fronte-violeta,5,Outono,101,3,JF,Serra,10:23:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,70,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
anu-preto,5,Outono,40,9,RJ,Planalto,15:42:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,sim,não,não,Pista de rolamento,não,Entre 15 e 18,Entre 25 e 50
mamífero,5,Outono,34,10,RJ,Planalto,15:29:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,sim,sim,não,não,sim,não,Pista de rolamento,não,Entre 15 e 18,Entre 25 e 50
pomba-de-asa-branca,5,Outono,26,10,JF,Planalto,10:13:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 25 e 50
Saí-canário,5,Outono,773,18,RJ,Planalto,12:27:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,não,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 750 e 775
pombo-comum,5,Outono,25,11,JF,Planalto,09:00:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,sim,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 0 e 25
morcego,5,Outono,88,4,JF,Serra,15:29:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 15 e 18,Entre 75 e 100
tatu-galinha,5,Outono,786,17,RJ,Planalto,11:12:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,sim,não,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 775 e 800
morcego,5,Outono,828,13,JF,Planalto,13:39:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,sim,não,não,Acostamento,não,Entre 12 e 15,Entre 825 e 850
sabiá-do-campo,5,Outono,780,18,RJ,Planalto,11:02:00,Canteiro divisório,3,Pavimento flexível (asfalto),5,70,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
alma-de-gato,5,Outono,792,17,RJ,Planalto,11:23:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 775 e 800
mamífero,5,Outono,86,4,RJ,Serra,09:13:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
morcego,5,Outono,99,3,RJ,Serra,10:55:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 75 e 100
araçari-banana,5,Outono,84,5,RJ,Serra,07:30:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 06 e 09,Entre 75 e 100
tiziu,5,Outono,36,9,RJ,Planalto,15:02:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,não,não,não,Retorno/Acesso,não,Entre 15 e 18,Entre 25 e 50
bico-de-lacre,5,Outono,99,3,RJ,Serra,08:13:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Chuva fina,sim,não,sim,sim,não,não,não,Acostamento,não,Entre 06 e 09,Entre 75 e 100
bico-de-lacre,5,Outono,99,3,RJ,Serra,08:14:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Chuva fina,sim,não,sim,sim,não,não,não,Acostamento,não,Entre 06 e 09,Entre 75 e 100
morcego,5,Outono,98,3,RJ,Serra,08:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Chuva fina,sim,não,sim,sim,não,não,não,Acostamento,não,Entre 06 e 09,Entre 75 e 100
gambá-de-orelha-preta,5,Outono,91,4,RJ,Serra,13:59:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,não,não,Pista de rolamento,não,Entre 12 e 15,Entre 75 e 100
anu-preto,6,Outono,3,13,JF,Planalto,11:39:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,sim,sim,não,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 0 e 25
ave,6,Outono,93,4,JF,Serra,10:55:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Chuva fina,não,não,sim,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
bacurau,6,Outono,819,14,JF,Planalto,11:57:00,Defensa Metálica,2,Pavimento flexível (asfalto),5,90,Sem chuva,não,sim,não,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 800 e 825
serpente,6,Outono,11,12,JF,Planalto,11:26:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
gambá-de-orelha-preta,6,Outono,18,11,RJ,Planalto,15:15:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,sim,não,não,Pista de rolamento,não,Entre 15 e 18,Entre 0 e 25
gambá-de-orelha-preta,6,Outono,92,4,JF,Serra,11:15:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Chuva fina,não,não,sim,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
preá,6,Outono,93,4,JF,Serra,11:10:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Chuva fina,não,não,sim,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
morcego,6,Outono,103,3,RJ,Baixada,10:05:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Chuva fina,não,não,sim,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
pardal,6,Outono,103,3,JF,Baixada,10:30:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Chuva fina,não,não,sim,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
pomba-de-asa-branca,6,Outono,38,9,RJ,Planalto,15:42:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,sim,não,sim,não,não,Pista de rolamento,não,Entre 15 e 18,Entre 25 e 50
tiê-preto,6,Outono,38,9,RJ,Planalto,15:41:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,sim,não,sim,não,não,Pista de rolamento,não,Entre 15 e 18,Entre 25 e 50
suiriri-cavaleiro,6,Outono,17,11,JF,Planalto,11:05:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
gambá-de-orelha-preta,6,Outono,83,5,JF,Serra,10:58:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Chuva fina,não,não,sim,não,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 75 e 100
ouriço-cacheiro,6,Outono,86,4,RJ,Serra,08:43:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,sim,não,não,sim,não,Acostamento,não,Entre 06 e 09,Entre 75 e 100
morcego,6,Outono,101,3,RJ,Serra,09:23:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,sim,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
sanhaçu-cinzento,6,Outono,100,3,JF,Serra,10:08:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 75 e 100
tiziu,6,Outono,27,10,JF,Planalto,10:50:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,sim,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 25 e 50
tiziu,6,Outono,29,10,RJ,Planalto,15:17:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,sim,não,sim,não,não,Acostamento,não,Entre 15 e 18,Entre 25 e 50
urubu-preto,6,Outono,30,10,JF,Planalto,10:20:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,não,sim,não,não,Acostamento,não,Entre 09 e 12,Entre 25 e 50
morcego,6,Outono,19,11,JF,Planalto,10:51:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,não,sim,sim,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
falsa-coral,6,Outono,98,3,RJ,Serra,10:00:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 75 e 100
cobra-papa-pinto,6,Outono,98,3,RJ,Serra,10:08:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,sim,não,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
morcego,6,Outono,101,3,RJ,Serra,10:17:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
sagui-de-tufos-pretos,6,Outono,804,16,RJ,Planalto,14:36:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,não,não,não,Pista de rolamento,não,Entre 12 e 15,Entre 800 e 825
pardal,6,Outono,21,11,JF,Planalto,10:38:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
tiziu,6,Outono,31,10,JF,Planalto,10:14:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),5,110,Sem chuva,não,não,sim,sim,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 25 e 50
guaxe,6,Outono,809,15,JF,Planalto,10:34:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,sim,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 800 e 825
morcego,6,Outono,60,7,JF,Planalto,07:52:00,Defensa Metálica,4,Pavimento flexível (asfalto),6,110,Sem chuva,não,não,sim,sim,não,sim,não,Acostamento,não,Entre 06 e 09,Entre 50 e 75
cachorro-do-mato,6,Outono,34,10,JF,Planalto,02:49:00,Defensa Metálica,2,Pavimento flexível (asfalto),2,90,Sem chuva,não,não,não,sim,não,não,não,Pista de rolamento,não,Entre 00 e 03,Entre 25 e 50
morcego,6,Outono,8,12,RJ,Planalto,14:34:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
gambá-de-orelha-preta,6,Outono,67,6,JF,Planalto,07:30:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,não,não,sim,Pista de rolamento,não,Entre 06 e 09,Entre 50 e 75
tapeti,6,Outono,85,5,RJ,Serra,11:53:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
morcego,6,Outono,87,4,RJ,Serra,12:07:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,não,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 75 e 100
sagui,6,Outono,98,3,RJ,Serra,12:46:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,sim,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 75 e 100
maritaca,6,Outono,60,7,RJ,Planalto,07:58:00,Defensa Metálica,4,Pavimento flexível (asfalto),6,110,Sem chuva,não,não,sim,sim,não,sim,não,Acostamento,não,Entre 06 e 09,Entre 50 e 75
maritaca,6,Outono,60,7,JF,Planalto,07:46:00,Defensa Metálica,4,Pavimento flexível (asfalto),6,110,Sem chuva,não,não,sim,sim,não,não,sim,Acostamento,não,Entre 06 e 09,Entre 50 e 75
maritaca,6,Outono,60,7,JF,Planalto,07:49:00,Defensa Metálica,4,Pavimento flexível (asfalto),6,110,Sem chuva,não,não,sim,sim,não,sim,não,Acostamento,não,Entre 06 e 09,Entre 50 e 75
maritaca,6,Outono,60,7,RJ,Planalto,08:00:00,Defensa Metálica,4,Pavimento flexível (asfalto),6,110,Sem chuva,não,não,sim,sim,não,sim,não,Pista de rolamento,não,Entre 06 e 09,Entre 50 e 75
maritaca,6,Outono,60,7,RJ,Planalto,15:30:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,não,não,sim,não,Acostamento,não,Entre 15 e 18,Entre 50 e 75
coleirinho,6,Outono,31,10,JF,Planalto,09:30:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,sim,não,não,sim,Acostamento,não,Entre 09 e 12,Entre 25 e 50
tiê-preto,6,Outono,8,12,RJ,Planalto,14:30:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,não,sim,não,não,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
tiê-preto,6,Outono,45,9,RJ,Planalto,15:13:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,90,Sem chuva,não,não,não,não,não,sim,sim,Acostamento,não,Entre 15 e 18,Entre 25 e 50
pomba-de-asa-branca,6,Outono,6,12,RJ,Planalto,14:24:00,Defensa Metálica,2,Pavimento flexível (asfalto),5,110,Sem chuva,não,não,sim,não,não,sim,não,Acostamento,não,Entre 12 e 15,Entre 0 e 25
saracura,6,Outono,30,10,JF,Planalto,06:43:00,Canteiro divisório,2,Pavimento flexível (asfalto),4,70,Sem chuva,não,não,sim,não,sim,não,sim,Pista de rolamento,não,Entre 06 e 09,Entre 25 e 50
ave,6,Outono,89,4,JF,Serra,07:51:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,não,Pista de rolamento,não,Entre 06 e 09,Entre 75 e 100
tapeti,6,Outono,794,17,JF,Planalto,11:55:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,sim,não,não,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 775 e 800
morcego,6,Outono,38,9,JF,Planalto,09:53:00,Defensa Metálica,5,Pavimento flexível (asfalto),9,110,Sem chuva,sim,sim,sim,sim,sim,sim,não,Acostamento,não,Entre 09 e 12,Entre 25 e 50
gambá-de-orelha-preta,6,Outono,80,5,JF,Serra,09:30:00,Sem divisão,1,Pavimento flexível (asfalto),3,70,Sem chuva,não,não,não,sim,não,não,não,Retorno/Acesso,não,Entre 09 e 12,Entre 75 e 100
rato-do-brejo,6,Outono,83,5,RJ,Serra,10:01:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,não,não,não,não,não,sim,sim,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
morcego,6,Outono,101,3,RJ,Serra,11:00:00,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,90,Sem chuva,sim,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 100 e 125
sabiá-do-campo,6,Outono,5,13,JF,Planalto,10:35:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,sim,não,sim,não,Acostamento,não,Entre 09 e 12,Entre 0 e 25
araçari-poca,6,Outono,86,4,RJ,Serra,10:20:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,não,não,sim,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
tiê-preto,6,Outono,91,4,RJ,Serra,10:36:00,Sem divisão,1,Pavimento flexível (asfalto),2,70,Sem chuva,sim,não,não,sim,não,não,não,Pista de rolamento,não,Entre 09 e 12,Entre 75 e 100
bico-de-lacre,6,Outono,98,3,RJ,Serra,09:45:00,Sem divisão,1,Pavimento flexível (asfalto),2,90,Sem chuva,sim,não,não,sim,não,não,não,Acostamento,não,Entre 09 e 12,Entre 75 e 100
morcego,6,Outono,50,8,RJ,Planalto,15:55:00,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,não,sim,não,não,sim,não,Acostamento,não,Entre 15 e 18,Entre 25 e 50
